分类,英文标签,中文翻译
性器/玩具,unconventional_vibrator,非常规振动器
身体部位,undersized_breast_cup,尺寸过多的胸杯
性行为,underwater_sex,水下性别
其他R18,used_artificial_vagina,使用的人造阴道
性器/玩具,used_condom_on_penis,在阴茎上使用的避孕套
其他R18,vagina_dentata,阴道牙齿
性行为,vaginal,阴道
性行为,vaginal_calligraphy,阴道书法
性行为,vaginal_object_insertion,阴道异物插入
身体部位,veiny_breasts,veiny 乳房
其他R18,veiny_penis,静脉凸起的阴茎
性器/玩具,vibrator,跳蛋
性器/玩具,vibrator_bulge,振动器凸起
性器/玩具,vibrator_cord,振动器线
性器/玩具,vibrator_in_anus,肛门中的振动器
性器/玩具,vibrator_in_leg_garter,腿吊袜带中的振动器
性器/玩具,vibrator_in_thigh_strap,振动器
性器/玩具,vibrator_in_thighhighs,大腿贴着跳蛋控制器
性器/玩具,vibrator_on_clitoris,阴蒂上的振动器
性器/玩具,vibrator_on_nipple,乳头上的振动器
性器/玩具,vibrator_on_penis,阴茎上的振动器
性器/玩具,vibrator_over_clothes,振动器在衣服上
性器/玩具,vibrator_under_clothes,塞着跳蛋且穿着衣服
性器/玩具,vibrator_under_panties,塞着跳蛋且穿着内裤
性器/玩具,vibrator_under_pantyhose,连裤袜下的振动器
体液/高潮,vomiting_cum,呕吐暨
其他R18,wardrobe_malfunction,衣服出了意外 (如崩开)
身体部位,weighing_breasts,称重乳房
其他R18,wiping_pussy,擦拭猫
性行为,wireless_sex_toy_controller,无线性玩具控制器
身体部位,writing_on_ass,写屁股
性行为,x_anus,X 肛门
